id,mutation,file,test,inner_id,status,language,start,end,mutatorName,replacement,Duration
23,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1623) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_eq_to_ne,Survived on 2nd pass. Was Survived,cpp,1623:24,1623:26,Replaced == with !=,!=,1.579185962677002
24,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1712) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,1712:21,1712:22,Replaced < with >=,>=,1.5637738704681396
25,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1712) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,1712:21,1712:22,Replaced < with <=,<=,1.6757268905639648
26,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1717) : Replaced > with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_ge,Survived on 2nd pass. Was Survived,cpp,1717:28,1717:29,Replaced > with >=,>=,1.6058471202850342
27,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1717) : Replaced > with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_le,Survived on 2nd pass. Was Survived,cpp,1717:28,1717:29,Replaced > with <=,<=,1.585649013519287
28,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1742) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_lt_to_ge,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,1742:25,1742:26,Replaced < with >=,>=,1.5459637641906738
29,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1742) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,1742:25,1742:26,Replaced < with <=,<=,1.6079928874969482
30,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1742) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,1742:31,1742:32,Replaced + with -,-,1.533599853515625
31,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1742) : Replaced x++ with x--,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_post_inc_to_post_dec,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,1742:40,1742:42,Replaced x++ with x--,--,1.592357873916626
32,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1992) : Replaced != with ==,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_ne_to_eq,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,1992:31,1992:33,Replaced != with ==,==,1.7368519306182861
33,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2681) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_eq_to_ne,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,2681:22,2681:24,Replaced == with !=,!=,1.520970106124878
34,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2681) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_eq_to_ne,Survived on 2nd pass. Was Survived,cpp,2681:48,2681:50,Replaced == with !=,!=,1.613861083984375
35,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2707) : Replaced != with ==,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_ne_to_eq,Survived on 2nd pass. Was Survived,cpp,2707:15,2707:17,Replaced != with ==,==,1.8354132175445557
36,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2708) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,2708:27,2708:28,Replaced < with >=,>=,1.4075860977172852
37,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2708) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,2708:27,2708:28,Replaced < with <=,<=,1.5916333198547363
38,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 2708) : Replaced x++ with x--,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_post_inc_to_post_dec,Survived on 2nd pass. Was Survived,cpp,2708:42,2708:44,Replaced x++ with x--,--,1.9757399559020996
39,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3760) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_mul_to_div,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3760:34,3760:35,Replaced * with /,/,1.642988920211792
40,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3761) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived,cpp,3761:22,3761:23,Replaced + with -,-,1.644430160522461
41,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3765) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_mul_to_div,Survived on 2nd pass. Was Survived,cpp,3765:27,3765:28,Replaced * with /,/,1.6519479751586914
42,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3766) : Replaced > with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_ge,Survived on 2nd pass. Was Survived,cpp,3766:18,3766:19,Replaced > with >=,>=,1.5720751285552979
43,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3766) : Replaced > with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_gt_to_le,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3766:18,3766:19,Replaced > with <=,<=,1.5173139572143555
44,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3766) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_mul_to_div,Survived on 2nd pass. Was Survived,cpp,3766:55,3766:56,Replaced * with /,/,1.864825963973999
45,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3766) : Replaced > with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_ge,Survived on 2nd pass. Was Survived,cpp,3766:75,3766:76,Replaced > with >=,>=,1.598855972290039
46,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3766) : Replaced > with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_gt_to_le,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3766:75,3766:76,Replaced > with <=,<=,1.5480880737304688
47,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3771) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_mul_to_div,Survived on 2nd pass. Was Survived,cpp,3771:79,3771:80,Replaced * with /,/,1.6080799102783203
48,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3772) : Replaced != with ==,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_ne_to_eq,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3772:24,3772:26,Replaced != with ==,==,1.6018497943878174
49,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3772) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_eq_to_ne,Survived on 2nd pass. Was Survived,cpp,3772:44,3772:46,Replaced == with !=,!=,1.7139160633087158
50,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3777) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3777:26,3777:27,Replaced + with -,-,1.6602251529693604
51,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3778) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,3778:79,3778:80,Replaced < with >=,>=,1.5562119483947754
52,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3778) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,3778:79,3778:80,Replaced < with <=,<=,1.5552220344543457
53,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3778) : Replaced x++ with x--,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_post_inc_to_post_dec,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,3778:115,3778:117,Replaced x++ with x--,--,1.5966949462890625
54,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3779) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,3779:55,3779:56,Replaced + with -,-,1.561513900756836
55,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3781) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_mul_to_div,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3781:31,3781:32,Replaced * with /,/,1.9536800384521484
56,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3782) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3782:31,3782:32,Replaced + with -,-,1.6684520244598389
57,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3783) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_mul_to_div,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3783:31,3783:32,Replaced * with /,/,1.6198010444641113
58,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3784) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -6. Was Killed,cpp,3784:31,3784:32,Replaced + with -,-,1.6055760383605957
59,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3785) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,3785:57,3785:58,Replaced < with >=,>=,1.583982229232788
60,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3785) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,3785:57,3785:58,Replaced < with <=,<=,1.618149995803833
61,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3785) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived,cpp,3785:61,3785:62,Replaced + with -,-,1.8374688625335693
62,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3785) : Replaced x++ with x--,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_post_inc_to_post_dec,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,3785:82,3785:84,Replaced x++ with x--,--,1.5806999206542969
63,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3786) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_mul_to_div,Survived on 2nd pass. Was Survived,cpp,3786:46,3786:47,Replaced * with /,/,1.5689280033111572
64,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3787) : Replaced - with +,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_sub_to_add,Survived on 2nd pass. Was Survived,cpp,3787:34,3787:35,Replaced - with +,+,1.5864479541778564
65,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3790) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,3790:30,3790:31,Replaced < with >=,>=,1.5851149559020996
66,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3790) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,3790:30,3790:31,Replaced < with <=,<=,1.7146618366241455
67,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3792) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,3792:30,3792:31,Replaced < with >=,>=,1.55794095993042
68,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3792) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,3792:30,3792:31,Replaced < with <=,<=,1.5670950412750244
69,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3794) : Replaced * with /,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_mul_to_div,Survived on 2nd pass. Was Survived,cpp,3794:50,3794:51,Replaced * with /,/,1.5615041255950928
70,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3795) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived,cpp,3795:38,3795:39,Replaced + with -,-,2.0551249980926514
71,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3798) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,3798:34,3798:35,Replaced < with >=,>=,1.6169829368591309
72,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3798) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,3798:34,3798:35,Replaced < with <=,<=,1.7748160362243652
73,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 3802) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_add_to_sub,Test failed or aborted on 2nd pass with error code: -11. Was Killed,cpp,3802:39,3802:40,Replaced + with -,-,1.517071008682251
