mutation,file,line,col,corresponding_mutabnt,ghost,entangled,note
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3081,22.183,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3082,22.184,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3083,22.185,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3087,16.21,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3087,16.207,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3093,19.198,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3099,19.199,0,1,0,Halide internals - input validation
cxx_eq_to_ne,halide_dotProduct.halide_generated.cpp,3105,19.2,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3113,20.208,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3113,20.22,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3123,20.209,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3123,20.221,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3133,20.222,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3133,20.21,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3160,23.231,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3167,24.232,0,1,0,Halide internals - input validation
cxx_ne_to_eq,halide_dotProduct.halide_generated.cpp,3174,24.233,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3180,17.223,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3180,17.21,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3181,22.186,0,1,0,Halide internals - input validation
cxx_le_to_lt,halide_dotProduct.halide_generated.cpp,3182,20.224,0,1,0,Halide internals - input validation
cxx_le_to_gt,halide_dotProduct.halide_generated.cpp,3182,20.21,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3186,23.187,0,1,0,Halide internals - input validation
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3187,24.188,0,1,0,Halide internals - input validation
cxx_sub_to_add,halide_dotProduct.halide_generated.cpp,3197,23.235,0,1,0,Undfined behavior even if we can implement it in Halide. Would require considerable change to source code to replicate in Halide
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3198,66.189,0,1,0,"A semantically equivalent mutant is possible if we comment out         dotProduct(x) += select(x == 0, vectorA(r) * vectorB(r), 0.0f);"
cxx_lt_to_le,halide_dotProduct.halide_generated.cpp,3198,62.226,0,1,0,Not possible in Halide due to validations
cxx_lt_to_ge,halide_dotProduct.halide_generated.cpp,3198,62.225,0,1,0,Not possible in Halide due to validations
cxx_post_inc_to_post_dec,halide_dotProduct.halide_generated.cpp,3198,94.234,0,1,0,Not possible in Halide due to validations
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3202,42.19,0,1,0,Halide internal
cxx_mul_to_div,halide_dotProduct.halide_generated.cpp,3204,23.227,1,0,0,Same mutation in source code
cxx_add_to_sub,halide_dotProduct.halide_generated.cpp,3205,23.191,1,0,0,Same mutation in source code
,,,,,,,
note: scalar is turned off because it causes segmentation fault,,,,,,,
There are other mutations possible that mull did not apply. For example mul to add,,,,,,,
Semantically equivalent mutants,,,,,,,
